,Velocity,Power,Position,Diameter
356,0.06429022,17.2,On,60r
357,1.999325646,17.2,On,60r
358,2.126906777,17.2,On,60r
359,0.833144156,17.2,On,60r
360,0.135797964,17.2,On,60r
361,0.015256487,17.2,On,60r
362,1.877830237,17.2,On,60r
363,0.07272504,17.2,On,60r
364,0.638824139,17.2,On,60r
365,0.914727173,17.2,On,60r
366,0.586761893,17.2,On,60r
367,0.967956412,17.2,On,60r
368,0.428455407,17.2,On,60r
369,1.448557198,17.2,On,60r
370,2.840686703,17.2,On,60r
371,0.5634533,17.2,On,60r
372,0.734128126,17.2,On,60r
373,2.089441163,17.2,On,60r
374,0.467633632,17.2,On,60r
375,0.412416228,17.2,On,60r
376,2.871551723,17.2,On,60r
377,0.657054124,17.2,On,60r
378,0.24234953,17.2,On,60r
379,2.784737728,17.2,On,60r
380,0.006164069,17.2,On,60r
381,1.017940387,17.2,On,60r
382,0.543611456,17.2,On,60r
383,0.421966808,17.2,On,60r
384,0.862096044,17.2,On,60r
385,0.301195795,17.2,On,60r
386,1.800285316,17.2,On,60r
387,0.250403331,17.2,On,60r
388,0.338058059,17.2,On,60r
389,0.045793305,17.2,On,60r
390,0.398596467,17.2,On,60r
391,0.776945572,17.2,On,60r
392,0.443144291,17.2,On,60r
393,1.453501276,17.2,On,60r
394,1.691264971,17.2,On,60r
395,0.044322809,17.2,On,60r
396,3.8923727,17.2,On,60r
397,1.385632554,17.2,On,60r
398,0.244607008,17.2,On,60r
399,0.257670132,17.2,On,60r
400,0.007141985,17.2,On,60r
401,2.433907531,17.2,On,60r
402,1.556413254,17.2,On,60r
403,0.01552427,17.2,On,60r
404,0.175984374,17.2,On,60r
405,0.804168863,17.2,On,60r
406,0.882617681,17.2,On,60r
407,2.761876841,17.2,On,60r
408,0.324626233,17.2,On,60r
409,0.256219726,17.2,On,60r
410,0.143675595,17.2,On,60r
411,0.475574688,17.2,On,60r
412,0.539368801,17.2,On,60r
413,0.027294297,17.2,On,60r
414,1.017886702,17.2,On,60r
415,1.572286092,17.2,On,60r
416,1.818939171,17.2,On,60r
417,0.246617424,17.2,On,60r
418,1.738913444,17.2,On,60r
419,0.335046866,17.2,On,60r
420,0.961629,17.2,On,60r
421,0.832793503,17.2,On,60r
422,0.558651573,17.2,On,60r
423,0.102673444,17.2,On,60r
424,1.471400813,17.2,On,60r
425,2.288066667,17.2,On,60r
426,0.019721608,17.2,On,60r
427,1.617783729,17.2,On,60r
428,0.993606049,17.2,On,60r
429,1.892982732,17.2,On,60r
430,0.586505287,17.2,On,60r
431,0.498936365,17.2,On,60r
432,0.038884704,17.2,On,60r
433,1.654591973,17.2,On,60r
434,1.154276428,17.2,On,60r
435,5.881671164,17.2,On,60r
436,1.498891604,17.2,On,60r
437,0.363113733,17.2,On,60r
438,0.779765537,17.2,On,60r
439,0.422666753,17.2,On,60r
440,0.99699073,17.2,On,60r
441,1.365258899,17.2,On,60r
442,0.152851854,17.2,On,60r
443,1.485443433,17.2,On,60r
444,1.569380136,17.2,On,60r
445,1.126932445,17.2,On,60r
446,0.717503231,17.2,On,60r
447,2.590466915,17.2,On,60r
448,1.025742422,17.2,On,60r
